CatID 	 ParentCatID	CatType	CatName	IsSubscribed	LocaleID
234	37	ProductFamily	Active Directory	False	9
235	234	Product	Active Directory Rights Management Services Client 2.0	False	9
38	37	ProductFamily	Antigen	False	9
72	38	Product	Antigen for Exchange/SMTP	False	9
336	37	ProductFamily	ASP.NET Web and Data Frameworks	False	9
337	336	Product	ASP.NET Web Frameworks	False	9
39	37	ProductFamily	Bing	False	9
73	39	Product	Bing Bar	False	9
145	39	Product	Search Enhancement Pack	False	9
173	39	Product	Windows Live	False	9
40	37	ProductFamily	BizTalk Server	False	9
74	40	Product	BizTalk Server 2002	False	9
75	40	Product	BizTalk Server 2006R2	False	9
76	40	Product	BizTalk Server 2009	False	9
236	40	Product	BizTalk Server 2013	False	9
104	40	Product	Host Integration Server 2000	False	9
105	40	Product	Host Integration Server 2004	False	9
106	40	Product	Host Integration Server 2006	False	9
107	40	Product	Host Integration Server 2009	False	9
108	40	Product	Host Integration Server 2010	False	9
41	37	ProductFamily	Developer Tools, Runtimes, and Redistributables	True	9
137	41	Product	Report Viewer 2005	True	9
138	41	Product	Report Viewer 2008	True	9
139	41	Product	Report Viewer 2010	True	9
381	41	Product	Visual C++ Redist for Visual Studio 2012	True	9
154	41	Product	Visual Studio 2005	True	9
155	41	Product	Visual Studio 2008	True	9
157	41	Product	Visual Studio 2010	True	9
156	41	Product	Visual Studio 2010 Tools for Office Runtime	True	9
341	41	Product	Visual Studio 2010 Tools for Office Runtime	True	9
281	41	Product	Visual Studio 2012	True	9
282	41	Product	Visual Studio 2013	True	9
237	37	ProductFamily	Device Health	False	9
238	237	Product	Device Health	False	9
42	37	ProductFamily	Exchange	True	9
83	42	Product	Exchange 2000 Server	True	9
84	42	Product	Exchange Server 2003	True	9
86	42	Product	Exchange Server 2007	True	9
85	42	Product	Exchange Server 2007 and Above Anti-spam	True	9
87	42	Product	Exchange Server 2010	True	9
239	42	Product	Exchange Server 2013	True	9
383	42	Product	Exchange Server 2016	True	9
43	37	ProductFamily	Expression	False	9
240	43	Product	Expression Design 1	False	9
241	43	Product	Expression Design 2	False	9
242	43	Product	Expression Design 3	False	9
243	43	Product	Expression Design 4	False	9
88	43	Product	Expression Media 2	False	9
89	43	Product	Expression Media V1	False	9
90	43	Product	Expression Web 3	False	9
91	43	Product	Expression Web 4	False	9
44	37	ProductFamily	Forefront	False	9
93	44	Product	Forefront Client Security	False	9
94	44	Product	Forefront Endpoint Protection 2010	False	9
245	44	Product	Forefront Identity Manager 2010	False	9
244	44	Product	Forefront Identity Manager 2010 R2	False	9
95	44	Product	Forefront Protection Category	False	9
96	44	Product	Forefront Server Security Category	False	9
99	44	Product	Forefront Threat Management Gateway, Definition Updates for HTTP Malware Inspection	False	9
98	44	Product	Forefront TMG	False	9
97	44	Product	Forefront TMG MBE	False	9
151	44	Product	Threat Management Gateway Definition Updates for Network Inspection System	False	9
150	44	Product	TMG Firewall Client	False	9
45	37	ProductFamily	HPC Pack	False	9
79	45	Product	Compute Cluster Pack	False	9
101	45	Product	HPC Pack 2008	False	9
46	37	ProductFamily	Internet Security and Acceleration Server	False	9
92	46	Product	Firewall Client for ISA Server	False	9
109	46	Product	Internet Security and Acceleration Server 2004	False	9
110	46	Product	Internet Security and Acceleration Server 2006	False	9
406	37	ProductFamily	Microsoft Advanced Threat Analytics	False	9
407	406	Product	Microsoft Advanced Threat Analytics	False	9
47	37	ProductFamily	Microsoft Application Virtualization	True	9
113	47	Product	Microsoft Application Virtualization 4.5	True	9
114	47	Product	Microsoft Application Virtualization 4.6	True	9
248	47	Product	Microsoft Application Virtualization 5.0	True	9
249	37	ProductFamily	Microsoft Azure	False	9
250	249	Product	Microsoft Azure Site Recovery Provider	False	9
338	249	Product	Service Bus for Windows Server 1.1	False	9
408	37	ProductFamily	Microsoft Azure Information Protection	False	9
409	408	Product	Microsoft Azure Information Protection Client	False	9
251	37	ProductFamily	Microsoft BitLocker Administration and Monitoring	True	9
252	251	Product	Microsoft BitLocker Administration and Monitoring v1	True	9
48	37	ProductFamily	Microsoft Codename Max	False	9
112	48	Product	Max	False	9
49	37	ProductFamily	Microsoft Dynamics CRM	False	9
116	49	Product	Microsoft Dynamics CRM 2011	False	9
115	49	Product	Microsoft Dynamics CRM 2011 SHS	False	9
253	49	Product	Microsoft Dynamics CRM 2013	False	9
353	49	Product	Microsoft Dynamics CRM 2015	False	9
400	49	Product	Microsoft Dynamics CRM 2016	False	9
398	49	Product	Microsoft Dynamics CRM 2016 SHS	False	9
50	37	ProductFamily	Microsoft HealthVault	False	9
103	50	Product	HealthVault Connection Center	False	9
102	50	Product	HealthVault Connection Center Upgrades	False	9
51	37	ProductFamily	Microsoft Lync Server and Microsoft Lync	True	9
117	51	Product	Microsoft Lync 2010	True	9
118	51	Product	Microsoft Lync Server 2010	True	9
254	51	Product	Microsoft Lync Server 2013	True	9
344	37	ProductFamily	Microsoft Monitoring Agent (MMA)	False	9
345	344	Product	Microsoft Monitoring Agent	False	9
255	37	ProductFamily	Microsoft Online Services	False	9
256	255	Product	Microsoft Online Services Sign-In Assistant	False	9
52	37	ProductFamily	Microsoft Research AutoCollage	False	9
119	52	Product	Microsoft Research AutoCollage 2008	False	9
53	37	ProductFamily	Microsoft Security Essentials	True	9
111	53	Product	MS Security Essentials	True	9
146	53	Product	Security Essentials	True	9
257	37	ProductFamily	Microsoft SQL Server PowerPivot for Excel	True	9
258	257	Product	Microsoft SQL Server 2008 R2 - PowerPivot for Microsoft Excel 2010	True	9
54	37	ProductFamily	Microsoft StreamInsight	True	9
